timestamp,subject,activity,heart_rate,breathing_rate
17.08984375,x001,Running,103.05487228003784,28.000030347605637
17.1875,x001,Running,103.1523178807947,28.000030347605637
17.28515625,x001,Running,103.24976348155155,28.000030347605637
17.3828125,x001,Running,103.34720908230842,28.000030347605637
17.48046875,x001,Running,103.44560075685904,28.000030347605637
17.578125,x001,Running,103.54304635761589,28.000030347605637
17.67578125,x001,Running,103.64049195837275,28.000030347605637
17.7734375,x001,Running,103.7379375591296,28.000030347605637
17.87109375,x001,Running,103.83632923368023,28.000030347605637
17.96875,x001,Running,103.93377483443709,28.000030347605637
18.06640625,x001,Running,104.03122043519394,27.96880991260225
18.1640625,x001,Running,104.1286660359508,27.871120164365852
18.26171875,x001,Running,104.22611163670766,27.773430416129454
18.359375,x001,Running,104.32450331125828,27.67574066789306
18.45703125,x001,Running,104.42194891201514,27.57805091965666
18.5546875,x001,Running,104.519394512772,27.480361171420263
18.65234375,x001,Running,104.61684011352885,27.382671423183865
18.75,x001,Running,104.71523178807946,27.285317378549653
18.84765625,x001,Running,104.81267738883633,27.187627630313255
18.9453125,x001,Running,104.91012298959319,27.089937882076857
19.04296875,x001,Running,105.0,26.99996931669076
19.140625,x001,Running,105.0,26.99996931669076
19.23828125,x001,Running,105.0,26.99996931669076
19.3359375,x001,Running,105.0,26.99996931669076
19.43359375,x001,Running,105.0,26.99996931669076
19.53125,x001,Running,105.0,26.99996931669076
19.62890625,x001,Running,105.0,26.99996931669076
19.7265625,x001,Running,105.0,26.99996931669076
19.82421875,x001,Running,105.0,26.99996931669076
19.921875,x001,Running,105.0,26.99996931669076
20.01953125,x001,Running,105.0,26.99996931669076
20.1171875,x001,Running,105.08230842005676,26.99996931669076
20.21484375,x001,Running,105.17975402081362,26.99996931669076
20.3125,x001,Running,105.27719962157049,26.99996931669076
20.41015625,x001,Running,105.37464522232735,26.99996931669076
20.5078125,x001,Running,105.47303689687796,26.99996931669076
20.60546875,x001,Running,105.57048249763481,26.99996931669076
20.703125,x001,Running,105.66792809839167,26.99996931669076
20.80078125,x001,Running,105.76537369914854,26.99996931669076
20.8984375,x001,Running,105.8628192999054,26.99996931669076
20.99609375,x001,Running,105.96121097445601,26.99996931669076
21.09375,x001,Running,106.0,26.94155688991023
21.19140625,x001,Running,106.0,26.843867141673833
21.2890625,x001,Running,106.0,26.746177393437435
21.38671875,x001,Running,106.0,26.648487645201037
21.484375,x001,Running,106.0,26.55079789696464
21.58203125,x001,Running,106.0,26.453108148728244
21.6796875,x001,Running,106.0,26.355418400491846
21.77734375,x001,Running,106.0,26.257728652255448
21.875,x001,Running,106.0,26.16003890401905
21.97265625,x001,Running,106.0,26.062349155782652
22.0703125,x001,Running,106.03500473036897,25.96499511114844
22.16796875,x001,Running,106.13245033112582,25.86730536291204
22.265625,x001,Running,106.23084200567644,25.769615614675644
22.36328125,x001,Running,106.3282876064333,25.671925866439246
22.4609375,x001,Running,106.42573320719016,25.574236118202847
22.55859375,x001,Running,106.52317880794702,25.47654636996645
22.65625,x001,Running,106.62157048249763,25.37885662173005
22.75390625,x001,Running,106.71901608325449,25.281166873493653
22.8515625,x001,Running,106.81646168401136,25.183477125257255
22.94921875,x001,Running,106.91390728476821,25.085787377020857
23.046875,x001,Running,107.01135288552507,24.999847254861002
23.14453125,x001,Running,107.10974456007568,24.999847254861002
23.2421875,x001,Running,107.20719016083254,24.999847254861002
23.33984375,x001,Running,107.30463576158941,24.999847254861002
23.4375,x001,Running,107.40208136234627,24.999847254861002
23.53515625,x001,Running,107.50047303689688,24.999847254861002
23.6328125,x001,Running,107.59791863765373,24.999847254861002
23.73046875,x001,Running,107.69536423841059,24.999847254861002
23.828125,x001,Running,107.79280983916746,24.999847254861002
23.92578125,x001,Running,107.89025543992432,24.999847254861002
24.0234375,x001,Running,107.98864711447493,24.999847254861002
24.12109375,x001,Running,108.08609271523179,24.913907132701148
24.21875,x001,Running,108.18353831598864,24.816553088066936
24.31640625,x001,Running,108.28098391674551,24.718863339830538
24.4140625,x001,Running,108.37937559129612,24.621173591594143
24.51171875,x001,Running,108.47682119205298,24.523483843357745
24.609375,x001,Running,108.57426679280984,24.425794095121347
24.70703125,x001,Running,108.6717123935667,24.32810434688495
24.8046875,x001,Running,108.76915799432356,24.23041459864855
24.90234375,x001,Running,108.86754966887418,24.132724850412153
25.0,x001,Running,108.96499526963103,24.035035102175755
25.09765625,x001,Running,109.0,24.000121927548314
25.1953125,x001,Running,109.0,24.000121927548314
25.29296875,x001,Running,109.0,24.000121927548314
25.390625,x001,Running,109.0,24.000121927548314
25.48828125,x001,Running,109.0,24.000121927548314
25.5859375,x001,Running,109.0,24.000121927548314
25.68359375,x001,Running,109.0,24.000121927548314
25.78125,x001,Running,109.0,24.000121927548314
25.87890625,x001,Running,109.0,24.000121927548314
25.9765625,x001,Running,109.0,24.000121927548314
26.07421875,x001,Running,109.03878902554399,24.000121927548314
26.171875,x001,Running,109.1371807000946,24.000121927548314
26.26953125,x001,Running,109.23462630085146,24.000121927548314
26.3671875,x001,Running,109.33207190160833,24.000121927548314
26.46484375,x001,Running,109.42951750236519,24.000121927548314
26.5625,x001,Running,109.52696310312204,24.000121927548314
26.66015625,x001,Running,109.62535477767265,24.000121927548314
26.7578125,x001,Running,109.72280037842951,24.000121927548314
26.85546875,x001,Running,109.82024597918638,24.000121927548314
26.953125,x001,Running,109.91769157994324,24.000121927548314
